ID,Glottocode,Language,Family,Consonants,WALS_size,Has_fricatives,F/C Ratio,Fricatives,n_fricatives,n_places,β,ɸ,v,f,θ,ð,s,z,s̺,ʃ,ɹ̝,ɬ,ɕ,ʑ,ç,ʝ,ɮ,ʒ,ʂ,ʐ,x,ɣ,ʁ,h,Voice_stops,Voice_fricatives,Allo_fric,Latitude,Longitude,Source,Commentary
88,cofa1242,A’ingae,Isolate,27,moderately large,1,0.14,f s ʃ h,4,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"-10.70, -64.98",,fischer_hengeveld_2023,
89,ando1256,Andoque,Isolate,11,small,1,0.27,ɸ s h,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"-10.70, -64.99",,landaburu_2023,"Both s and j have fricative, affricate and stop realizations; the fricative s is palatalized before e (Landaburu 2023:129)"
90,cand1248,Kandozi,Isolate,16,moderately small,1,0.25,s ʃ ʂ h,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"-10.70, -64.100",,overall_2023,The glide w is realized as β preceding i in some dialects of the language.
91,iton1250,Itonama,Isolate,19,average,1,0.1,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"-10.70, -64.101",,crevels_2023,The approximant w has a fricative realization β when preceded and followed by the same vowel.
92,hara1260,Harakmbut,Isolate,9,small,1,0.11,s,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-10.70, -64.102",,van_linden_2023,
93,cayu1262,Cayubaba,Isolate,17,moderately small,1,0.23,β s ʃ h,4,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"-10.70, -64.103",,crevels_muysken_2023,
94,abis1238,Aewa,Isolate,19,average,1,0.15,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"-10.70, -64.104",,beier_michael_2023,
95,pume1238,Yaruro,Isolate,19,average,1,0.1,β h,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"-10.70, -64.105",,mosonyi_zamponi_2023,The stop g has a fricative realization ɣ.
96,taus1253,Taushiro,Isolate,17,moderately small,1,0.29,ɕ x h hʲ hʷ,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"-10.70, -64.106",,ohagan_2023,
97,maku1246,Máku,Isolate,15,moderately small,1,0.2,ɸ s h,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"-10.70, -64.107",,zamponi_rogers_2023,The approximant j is often realized as [z] and [ð].
98,isco1239,Iskonawa,Panoan,13,small,1,0.23,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"-10.70, -64.108",,zariquiey_2015,"Although β is lacking, the author posits a contrast between two approximants w and β, offering acoustic evidence that the latter lacks frication in its production; the rhotic ɾ may be realized as a retroflex fricative ʐ."
99,kari1311,Karitiana,Tupian,11,small,1,0.18,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"-10.70, -64.109",,everett_2007,"Everett 2007 suggests that two voiced stops, b and d, are in the process of becoming indepenent phonemes in the language; the author notes that, while h clearly patterns as a consonant (and has a distribution similar to that of s), it has no clear constriction, and sounds like voiceless version of adjacent vowels."
100,akun1241,Akuntsu,Tupian,14,small,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"-10.70, -64.110",,aragon_2014,"The stop consonant k has a realization [ɣ] in intervocalic external sandhi contexts; the language has no underlying fricatives, only the affricate t͡ʃ. Note, however, that this segment, although phonologically classified as a stop by the author of the source, does not behave like a stop in all aspects, both distributionally and in terms of a phonetic lengthening rule to which stops are subject (Aragon 2014:85)."
101,tupa1250,Tupari,Tupian,16,moderately small,1,0.18,s ʃ h,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"-10.70, -64.111",,singerman_2018,The stop p can be realized as [ɸ] before back round vowels.
